white_king_file,white_king_rank,white_rook_file,white_rook_rank,black_king_file,black_king_rank,result,w_king_w_rook_diff,white_king_defending,b_king_w_rook_diff,black_king_attacking,b_king_corner_diff,combined
4,3,7,1,1,4,10,3.605551275463989,0,6.708203932499369,0,3.0,00
3,3,4,3,5,4,13,1.0,1,1.4142135623730951,1,4.242640687119285,11
3,3,1,3,6,4,13,2.0,0,5.0990195135927845,0,3.605551275463989,00
3,3,5,7,4,1,1,4.47213595499958,0,6.082762530298219,0,3.0,00
3,1,3,8,8,4,12,7.0,0,6.4031242374328485,0,3.0,00
4,4,6,7,6,1,8,3.605551275463989,0,6.0,0,2.0,00
4,2,5,3,7,8,11,1.4142135623730951,1,5.385164807134504,0,1.0,01
4,3,3,8,7,6,12,5.0990195135927845,0,4.47213595499958,0,2.23606797749979,00
4,2,6,4,7,1,6,2.8284271247461903,0,3.1622776601683795,0,1.0,00
2,1,7,7,4,1,10,7.810249675906654,0,6.708203932499369,0,3.0,00
4,3,2,8,2,7,100,5.385164807134504,0,1.0,1,1.4142135623730951,10
4,1,4,3,8,7,12,2.0,0,5.656854249492381,0,1.0,00
4,3,2,8,1,6,7,5.385164807134504,0,2.23606797749979,0,2.0,00
4,1,3,1,2,8,10,1.0,1,7.0710678118654755,0,1.0,01
1,1,1,3,4,1,11,2.0,0,3.605551275463989,0,3.0,00
4,2,1,6,2,8,12,5.0,0,2.23606797749979,0,1.0,00
4,1,4,2,8,8,12,1.0,1,7.211102550927978,0,0.0,01
3,3,5,6,8,1,8,3.605551275463989,0,5.830951894845301,0,0.0,00
3,3,6,4,7,1,7,3.1622776601683795,0,3.1622776601683795,0,1.0,00
2,2,2,6,8,6,13,4.0,0,6.0,0,2.0,00
4,4,1,2,6,2,10,3.605551275463989,0,5.0,0,2.23606797749979,00
4,3,2,3,2,7,10,2.0,0,4.0,0,1.4142135623730951,00
3,1,8,5,7,1,10,6.4031242374328485,0,4.123105625617661,0,1.0,00
3,2,6,3,7,7,11,3.1622776601683795,0,4.123105625617661,0,1.4142135623730951,00
3,2,3,5,3,8,13,3.0,0,3.0,0,2.0,00
3,2,2,1,7,3,12,1.4142135623730951,1,5.385164807134504,0,2.23606797749979,01
4,4,3,2,8,5,9,2.23606797749979,0,5.830951894845301,0,3.0,00
4,2,8,8,1,5,11,7.211102550927978,0,7.615773105863909,0,3.0,00
3,1,5,1,1,1,2,2.0,0,4.0,0,0.0,00
3,1,2,7,5,6,15,6.082762530298219,0,3.1622776601683795,0,3.605551275463989,00
2,2,6,3,4,1,10,4.123105625617661,0,2.8284271247461903,0,3.0,00
3,2,6,6,1,5,13,5.0,0,5.0990195135927845,0,3.0,00
2,1,2,7,5,4,15,6.0,0,4.242640687119285,0,4.242640687119285,00
2,1,3,4,7,5,14,3.1622776601683795,0,4.123105625617661,0,3.1622776601683795,00
4,2,4,6,4,8,12,4.0,0,2.0,0,3.0,00
4,3,2,8,2,5,11,5.385164807134504,0,3.0,0,3.1622776601683795,00
3,1,8,3,5,5,14,5.385164807134504,0,3.605551275463989,0,4.242640687119285,00
3,3,7,2,8,1,100,4.123105625617661,0,1.4142135623730951,1,0.0,10
2,1,8,6,8,1,12,7.810249675906654,0,5.0,0,0.0,00
1,1,3,8,5,1,14,7.280109889280518,0,7.280109889280518,0,3.0,00
3,1,8,8,4,5,14,8.602325267042627,0,5.0,0,4.242640687119285,00
3,2,6,8,6,2,14,6.708203932499369,0,6.0,0,2.23606797749979,00
3,2,8,1,7,4,13,5.0990195135927845,0,3.1622776601683795,0,3.1622776601683795,00
1,1,7,1,3,2,14,6.0,0,4.123105625617661,0,2.23606797749979,00
3,1,2,6,4,5,15,5.0990195135927845,0,2.23606797749979,0,4.242640687119285,00
4,2,2,8,8,6,12,6.324555320336759,0,6.324555320336759,0,2.0,00
3,2,4,2,4,5,14,1.0,1,3.0,0,4.242640687119285,01
2,2,5,1,7,7,13,3.1622776601683795,0,6.324555320336759,0,1.4142135623730951,00
3,1,3,7,6,8,11,6.0,0,3.1622776601683795,0,2.0,00
3,1,2,1,8,6,14,1.0,1,7.810249675906654,0,2.0,01
3,3,4,1,8,7,11,2.23606797749979,0,7.211102550927978,0,1.0,00
4,1,4,7,4,8,100,6.0,0,1.0,1,3.0,10
4,3,2,2,1,4,6,2.23606797749979,0,2.23606797749979,0,3.0,00
3,3,4,1,6,3,13,2.23606797749979,0,2.8284271247461903,0,2.8284271247461903,00
4,1,4,7,2,8,11,6.0,0,2.23606797749979,0,1.0,00
4,3,5,5,3,5,10,2.23606797749979,0,2.0,0,3.605551275463989,00
2,1,2,4,8,8,13,3.0,0,7.211102550927978,0,0.0,00
4,4,7,3,7,4,100,3.1622776601683795,0,1.0,1,3.1622776601683795,10
3,1,5,8,7,8,12,7.280109889280518,0,2.0,0,1.0,00
1,1,6,1,5,3,15,5.0,0,2.23606797749979,0,3.605551275463989,00
3,2,5,5,4,4,100,3.605551275463989,0,1.4142135623730951,1,4.242640687119285,10
4,4,8,5,6,4,11,4.123105625617661,0,2.23606797749979,0,3.605551275463989,00
4,1,4,4,2,5,13,3.0,0,2.23606797749979,0,3.1622776601683795,00
3,3,5,3,6,3,100,2.0,0,1.0,1,2.8284271247461903,10
4,1,2,6,2,5,100,5.385164807134504,0,1.0,1,3.1622776601683795,10
2,1,2,4,5,3,11,3.0,0,3.1622776601683795,0,3.605551275463989,00
3,1,1,3,8,5,13,2.8284271247461903,0,7.280109889280518,0,3.0,00
2,2,5,7,7,6,14,5.830951894845301,0,2.23606797749979,0,2.23606797749979,00
4,1,6,5,1,4,10,4.47213595499958,0,5.0990195135927845,0,3.0,00
4,3,2,6,4,8,11,3.605551275463989,0,2.8284271247461903,0,3.0,00
3,3,2,3,5,2,10,1.0,1,3.1622776601683795,0,3.1622776601683795,01
3,2,2,8,7,6,13,6.082762530298219,0,5.385164807134504,0,2.23606797749979,00
2,2,3,4,5,2,11,2.23606797749979,0,2.8284271247461903,0,3.1622776601683795,00
4,2,5,3,2,5,12,1.4142135623730951,1,3.605551275463989,0,3.1622776601683795,01
2,2,7,2,8,7,9,5.0,0,5.0990195135927845,0,1.0,00
4,3,3,5,1,4,7,2.23606797749979,0,2.23606797749979,0,3.0,00
2,2,7,7,6,2,14,7.0710678118654755,0,5.0990195135927845,0,2.23606797749979,00
4,4,1,6,8,6,9,3.605551275463989,0,7.0,0,2.0,00
4,3,2,2,7,6,12,2.23606797749979,0,6.4031242374328485,0,2.23606797749979,00
3,2,1,6,6,3,13,4.47213595499958,0,5.830951894845301,0,2.8284271247461903,00
1,1,6,4,7,2,12,5.830951894845301,0,2.23606797749979,0,1.4142135623730951,00
3,1,7,1,5,4,15,4.0,0,3.605551275463989,0,4.242640687119285,00
3,1,6,5,1,2,10,5.0,0,5.830951894845301,0,1.0,00
3,2,4,1,5,8,13,1.4142135623730951,1,7.0710678118654755,0,3.0,01
4,4,1,5,7,1,9,3.1622776601683795,0,7.211102550927978,0,1.0,00
3,1,1,1,5,7,14,2.0,0,7.211102550927978,0,3.1622776601683795,00
4,4,4,5,6,4,10,1.0,1,2.23606797749979,0,3.605551275463989,01
4,1,5,1,8,6,12,1.0,1,5.830951894845301,0,2.0,01
4,4,4,2,6,3,11,2.0,0,2.23606797749979,0,2.8284271247461903,00
4,3,8,8,3,5,12,6.4031242374328485,0,5.830951894845301,0,3.605551275463989,00
2,1,2,8,8,1,9,7.0,0,9.219544457292887,0,0.0,00
